"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X1.1","X2.1","X3.1","X4.1","X5.1","X6.1","X7.1","X8.1","X9.1","X10.1","X11.1","X12.1","X13.1","X14.1","X15.1","X16.1","X17.1","X18.1","X19.1","X20.1","X21.1","X22.1","X23.1","X24.1","X25.1","X26.1","X27.1","X28.1","X29.1","X30.1","X31.1","X32.1","X33.1","X34.1","X35.1","X36.1","X37.1","X38.1","X39.1","X40.1","X41.1","X42.1","X43.1","X44.1","X45.1","X46.1","X47.1","X48.1","X49.1","X50.1","X51.1","X52.1","X53.1","X54.1","X55.1","X56.1","X57.1","X58.1","X59.1","X60.1","X61.1","X62.1","X63.1","X64.1","X65.1","X66.1","X67.1","X68.1","X69.1","X70.1","X71.1","X72.1","X73.1","X74.1","X75.1","X76.1","X77.1","X78.1","X79.1","X80.1","X81.1","X82.1","X83.1","X84.1","X85.1","X86.1","X87.1","X88.1","X89.1","X90.1","X91.1","X92.1","X93.1","X94.1","X95.1","X96.1","X97.1","X98.1","X99.1","X100.1","X101.1","X102.1","X103.1","X104.1","X105.1","X106.1","X107.1","X108.1","X109.1","X110.1","X111.1","X112.1","X113.1","X114.1","X115.1","X116.1","X117.1"
"93",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,10,25,21,28,22,28,24,21,6,10,11,8,25,14,26,18,22,28,28,25,22,18,29,12,30,30,22,20,22,26,26,11,30,17,7,20,27,26,11,19,29,19,21,23,25,18,5,17,26,26,4,28,26,30,30,29,25,29,29,29,24,12,28,23,23,22,21,7,14,14,11,14,11,20,19,8,8,5,12,14,2,4,3,11,1,16,16,13,6,2,9,7,0,18,15,21,18,13,27,27,28,7,27,8,21,26,21,20,29,1,27,17,15,20,25,25,31
"94",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,8,7,3,10,4,10,6,3,12,8,7,10,7,4,8,0,4,10,10,7,4,0,11,6,12,12,4,2,4,8,8,7,12,35,25,2,9,8,7,1,11,1,3,5,7,0,13,1,8,8,14,10,8,12,12,11,7,11,11,11,6,6,10,5,5,4,3,25,4,4,7,4,29,38,1,10,10,23,6,32,16,22,15,29,17,2,34,5,12,16,9,11,18,0,3,3,0,5,9,9,10,11,9,10,3,8,3,2,11,17,9,1,3,2,7,7,13
"95",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,5,10,6,13,7,13,9,6,9,5,4,7,10,1,11,3,7,13,13,10,7,3,14,3,15,15,7,5,7,11,11,4,15,32,22,5,12,11,4,4,14,4,6,8,10,3,10,2,11,11,11,13,11,15,15,14,10,14,14,14,9,3,13,8,8,7,6,22,1,1,4,1,26,35,4,7,7,20,3,29,13,19,12,26,14,1,31,2,9,13,6,8,15,3,0,6,3,2,12,12,13,8,12,7,6,11,6,5,14,14,12,2,0,5,10,10,16
"96",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,11,4,0,7,1,7,3,0,15,11,10,13,4,7,5,3,1,7,7,4,1,3,8,9,9,9,1,1,1,5,5,10,9,38,28,1,6,5,10,2,8,2,0,2,4,3,16,4,5,5,17,7,5,9,9,8,4,8,8,8,3,9,7,2,2,1,0,28,7,7,10,7,32,41,2,13,13,26,9,35,19,25,18,32,20,5,37,8,15,19,12,14,21,3,6,0,3,8,6,6,7,14,6,13,0,5,0,1,8,20,6,4,6,1,4,4,10
"97",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,8,7,3,10,4,10,6,3,12,8,7,10,7,4,8,0,4,10,10,7,4,0,11,6,12,12,4,2,4,8,8,7,12,35,25,2,9,8,7,1,11,1,3,5,7,0,13,1,8,8,14,10,8,12,12,11,7,11,11,11,6,6,10,5,5,4,3,25,4,4,7,4,29,38,1,10,10,23,6,32,16,22,15,29,17,2,34,5,12,16,9,11,18,0,3,3,0,5,9,9,10,11,9,10,3,8,3,2,11,17,9,1,3,2,7,7,13
"98",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,3,12,8,15,9,15,11,8,7,3,2,5,12,1,13,5,9,15,15,12,9,5,16,1,17,17,9,7,9,13,13,2,17,30,20,7,14,13,2,6,16,6,8,10,12,5,8,4,13,13,9,15,13,17,17,16,12,16,16,16,11,1,15,10,10,9,8,20,1,1,2,1,24,33,6,5,5,18,1,27,11,17,10,24,12,3,29,0,7,11,4,6,13,5,2,8,5,0,14,14,15,6,14,5,8,13,8,7,16,12,14,4,2,7,12,12,18
"99",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,17,2,6,1,5,1,3,6,21,17,16,19,2,13,1,9,5,1,1,2,5,9,2,15,3,3,5,7,5,1,1,16,3,44,34,7,0,1,16,8,2,8,6,4,2,9,22,10,1,1,23,1,1,3,3,2,2,2,2,2,3,15,1,4,4,5,6,34,13,13,16,13,38,47,8,19,19,32,15,41,25,31,24,38,26,11,43,14,21,25,18,20,27,9,12,6,9,14,0,0,1,20,0,19,6,1,6,7,2,26,0,10,12,7,2,2,4
"100",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,17,2,6,1,5,1,3,6,21,17,16,19,2,13,1,9,5,1,1,2,5,9,2,15,3,3,5,7,5,1,1,16,3,44,34,7,0,1,16,8,2,8,6,4,2,9,22,10,1,1,23,1,1,3,3,2,2,2,2,2,3,15,1,4,4,5,6,34,13,13,16,13,38,47,8,19,19,32,15,41,25,31,24,38,26,11,43,14,21,25,18,20,27,9,12,6,9,14,0,0,1,20,0,19,6,1,6,7,2,26,0,10,12,7,2,2,4
"101",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,18,3,7,0,6,0,4,7,22,18,17,20,3,14,2,10,6,0,0,3,6,10,1,16,2,2,6,8,6,2,2,17,2,45,35,8,1,2,17,9,1,9,7,5,3,10,23,11,2,2,24,0,2,2,2,1,3,1,1,1,4,16,0,5,5,6,7,35,14,14,17,14,39,48,9,20,20,33,16,42,26,32,25,39,27,12,44,15,22,26,19,21,28,10,13,7,10,15,1,1,0,21,1,20,7,2,7,8,1,27,1,11,13,8,3,3,3
"102",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,3,18,14,21,15,21,17,14,1,3,4,1,18,7,19,11,15,21,21,18,15,11,22,5,23,23,15,13,15,19,19,4,23,24,14,13,20,19,4,12,22,12,14,16,18,11,2,10,19,19,3,21,19,23,23,22,18,22,22,22,17,5,21,16,16,15,14,14,7,7,4,7,18,27,12,1,1,12,5,21,5,11,4,18,6,9,23,6,1,5,2,0,7,11,8,14,11,6,20,20,21,0,20,1,14,19,14,13,22,6,20,10,8,13,18,18,24
"103",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,17,2,6,1,5,1,3,6,21,17,16,19,2,13,1,9,5,1,1,2,5,9,2,15,3,3,5,7,5,1,1,16,3,44,34,7,0,1,16,8,2,8,6,4,2,9,22,10,1,1,23,1,1,3,3,2,2,2,2,2,3,15,1,4,4,5,6,34,13,13,16,13,38,47,8,19,19,32,15,41,25,31,24,38,26,11,43,14,21,25,18,20,27,9,12,6,9,14,0,0,1,20,0,19,6,1,6,7,2,26,0,10,12,7,2,2,4
"104",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,2,17,13,20,14,20,16,13,2,2,3,0,17,6,18,10,14,20,20,17,14,10,21,4,22,22,14,12,14,18,18,3,22,25,15,12,19,18,3,11,21,11,13,15,17,10,3,9,18,18,4,20,18,22,22,21,17,21,21,21,16,4,20,15,15,14,13,15,6,6,3,6,19,28,11,0,0,13,4,22,6,12,5,19,7,8,24,5,2,6,1,1,8,10,7,13,10,5,19,19,20,1,19,0,13,18,13,12,21,7,19,9,7,12,17,17,23
"105",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,11,4,0,7,1,7,3,0,15,11,10,13,4,7,5,3,1,7,7,4,1,3,8,9,9,9,1,1,1,5,5,10,9,38,28,1,6,5,10,2,8,2,0,2,4,3,16,4,5,5,17,7,5,9,9,8,4,8,8,8,3,9,7,2,2,1,0,28,7,7,10,7,32,41,2,13,13,26,9,35,19,25,18,32,20,5,37,8,15,19,12,14,21,3,6,0,3,8,6,6,7,14,6,13,0,5,0,1,8,20,6,4,6,1,4,4,10
"106",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,16,1,5,2,4,2,2,5,20,16,15,18,1,12,0,8,4,2,2,1,4,8,3,14,4,4,4,6,4,0,0,15,4,43,33,6,1,0,15,7,3,7,5,3,1,8,21,9,0,0,22,2,0,4,4,3,1,3,3,3,2,14,2,3,3,4,5,33,12,12,15,12,37,46,7,18,18,31,14,40,24,30,23,37,25,10,42,13,20,24,17,19,26,8,11,5,8,13,1,1,2,19,1,18,5,0,5,6,3,25,1,9,11,6,1,1,5
"107",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,11,4,0,7,1,7,3,0,15,11,10,13,4,7,5,3,1,7,7,4,1,3,8,9,9,9,1,1,1,5,5,10,9,38,28,1,6,5,10,2,8,2,0,2,4,3,16,4,5,5,17,7,5,9,9,8,4,8,8,8,3,9,7,2,2,1,0,28,7,7,10,7,32,41,2,13,13,26,9,35,19,25,18,32,20,5,37,8,15,19,12,14,21,3,6,0,3,8,6,6,7,14,6,13,0,5,0,1,8,20,6,4,6,1,4,4,10
"108",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,10,5,1,8,2,8,4,1,14,10,9,12,5,6,6,2,2,8,8,5,2,2,9,8,10,10,2,0,2,6,6,9,10,37,27,0,7,6,9,1,9,1,1,3,5,2,15,3,6,6,16,8,6,10,10,9,5,9,9,9,4,8,8,3,3,2,1,27,6,6,9,6,31,40,1,12,12,25,8,34,18,24,17,31,19,4,36,7,14,18,11,13,20,2,5,1,2,7,7,7,8,13,7,12,1,6,1,0,9,19,7,3,5,0,5,5,11
"109",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,19,4,8,1,7,1,5,8,23,19,18,21,4,15,3,11,7,1,1,4,7,11,0,17,1,1,7,9,7,3,3,18,1,46,36,9,2,3,18,10,0,10,8,6,4,11,24,12,3,3,25,1,3,1,1,0,4,0,0,0,5,17,1,6,6,7,8,36,15,15,18,15,40,49,10,21,21,34,17,43,27,33,26,40,28,13,45,16,23,27,20,22,29,11,14,8,11,16,2,2,1,22,2,21,8,3,8,9,0,28,2,12,14,9,4,4,2
"110",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,9,24,20,27,21,27,23,20,5,9,10,7,24,13,25,17,21,27,27,24,21,17,28,11,29,29,21,19,21,25,25,10,29,18,8,19,26,25,10,18,28,18,20,22,24,17,4,16,25,25,3,27,25,29,29,28,24,28,28,28,23,11,27,22,22,21,20,8,13,13,10,13,12,21,18,7,7,6,11,15,1,5,2,12,0,15,17,12,5,1,8,6,1,17,14,20,17,12,26,26,27,6,26,7,20,25,20,19,28,0,26,16,14,19,24,24,30
"111",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,17,2,6,1,5,1,3,6,21,17,16,19,2,13,1,9,5,1,1,2,5,9,2,15,3,3,5,7,5,1,1,16,3,44,34,7,0,1,16,8,2,8,6,4,2,9,22,10,1,1,23,1,1,3,3,2,2,2,2,2,3,15,1,4,4,5,6,34,13,13,16,13,38,47,8,19,19,32,15,41,25,31,24,38,26,11,43,14,21,25,18,20,27,9,12,6,9,14,0,0,1,20,0,19,6,1,6,7,2,26,0,10,12,7,2,2,4
"112",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,7,8,4,11,5,11,7,4,11,7,6,9,8,3,9,1,5,11,11,8,5,1,12,5,13,13,5,3,5,9,9,6,13,34,24,3,10,9,6,2,12,2,4,6,8,1,12,0,9,9,13,11,9,13,13,12,8,12,12,12,7,5,11,6,6,5,4,24,3,3,6,3,28,37,2,9,9,22,5,31,15,21,14,28,16,1,33,4,11,15,8,10,17,1,2,4,1,4,10,10,11,10,10,9,4,9,4,3,12,16,10,0,2,3,8,8,14
"113",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,5,10,6,13,7,13,9,6,9,5,4,7,10,1,11,3,7,13,13,10,7,3,14,3,15,15,7,5,7,11,11,4,15,32,22,5,12,11,4,4,14,4,6,8,10,3,10,2,11,11,11,13,11,15,15,14,10,14,14,14,9,3,13,8,8,7,6,22,1,1,4,1,26,35,4,7,7,20,3,29,13,19,12,26,14,1,31,2,9,13,6,8,15,3,0,6,3,2,12,12,13,8,12,7,6,11,6,5,14,14,12,2,0,5,10,10,16
"114",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,10,5,1,8,2,8,4,1,14,10,9,12,5,6,6,2,2,8,8,5,2,2,9,8,10,10,2,0,2,6,6,9,10,37,27,0,7,6,9,1,9,1,1,3,5,2,15,3,6,6,16,8,6,10,10,9,5,9,9,9,4,8,8,3,3,2,1,27,6,6,9,6,31,40,1,12,12,25,8,34,18,24,17,31,19,4,36,7,14,18,11,13,20,2,5,1,2,7,7,7,8,13,7,12,1,6,1,0,9,19,7,3,5,0,5,5,11
"115",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,15,0,4,3,3,3,1,4,19,15,14,17,0,11,1,7,3,3,3,0,3,7,4,13,5,5,3,5,3,1,1,14,5,42,32,5,2,1,14,6,4,6,4,2,0,7,20,8,1,1,21,3,1,5,5,4,0,4,4,4,1,13,3,2,2,3,4,32,11,11,14,11,36,45,6,17,17,30,13,39,23,29,22,36,24,9,41,12,19,23,16,18,25,7,10,4,7,12,2,2,3,18,2,17,4,1,4,5,4,24,2,8,10,5,0,0,6
"116",1,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,15,0,4,3,3,3,1,4,19,15,14,17,0,11,1,7,3,3,3,0,3,7,4,13,5,5,3,5,3,1,1,14,5,42,32,5,2,1,14,6,4,6,4,2,0,7,20,8,1,1,21,3,1,5,5,4,0,4,4,4,1,13,3,2,2,3,4,32,11,11,14,11,36,45,6,17,17,30,13,39,23,29,22,36,24,9,41,12,19,23,16,18,25,7,10,4,7,12,2,2,3,18,2,17,4,1,4,5,4,24,2,8,10,5,0,0,6
"117",0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,1,21,6,10,3,9,3,7,10,25,21,20,23,6,17,5,13,9,3,3,6,9,13,2,19,1,1,9,11,9,5,5,20,1,48,38,11,4,5,20,12,2,12,10,8,6,13,26,14,5,5,27,3,5,1,1,2,6,2,2,2,7,19,3,8,8,9,10,38,17,17,20,17,42,51,12,23,23,36,19,45,29,35,28,42,30,15,47,18,25,29,22,24,31,13,16,10,13,18,4,4,3,24,4,23,10,5,10,11,2,30,4,14,16,11,6,6,0
