id_individual,Sex_1_0,Haplotype,Number_sightings,Av_water_depth,Av_group_size,Sponger,Demons_sponging_forage,Sp_Order_acquisition,Mum_known,Not_weaned
FOS,0,NA,1,13.4,5,no,NA,NA,yes,0
FRA,-0.5,NA,14,14.20714286,2.571428571,yes,no,22,no,0
FRD,0,NA,3,9.233333333,2.666666667,no,NA,NA,no,0
FRE,0,NA,2,12.85,2,no,NA,NA,yes,0
FRF,0,NA,9,1.744444444,2,no,NA,NA,yes,0
FRI,0,NA,2,6.95,4,no,NA,NA,no,0
FRK,0.5,D,3,10.66666667,6,no,NA,NA,no,0
FRN,0,NA,2,2.85,4,no,NA,NA,no,0
FRO,0,NA,1,6.4,8,no,NA,NA,no,0
FRU,0,NA,4,13.375,4,no,NA,NA,yes,0
FRY,0,NA,8,7.325,5.75,no,NA,NA,no,0
FRZ,0,NA,33,4.075,6.96969697,no,NA,NA,no,0
FUL,0.5,F,8,11.1375,9.25,no,NA,NA,no,0
FUN,0,NA,11,13.68181818,7.818181818,no,NA,NA,no,0
FUS,0,NA,7,4.014285714,7.428571429,no,NA,NA,no,0
FZZ,0,NA,1,1.6,7,no,NA,NA,no,0
GAL,0,NA,3,10.36666667,4.666666667,no,NA,NA,no,0
GAR,0,NA,7,12.5,4.714285714,no,NA,NA,no,0
GEG,0,NA,1,7.8,10,no,NA,NA,no,0
GEN,0,NA,7,12.75714286,3,no,NA,NA,no,0
GER,0,NA,1,1.1,4,no,NA,NA,yes,0
GHA,0,NA,2,4.95,12,no,NA,NA,no,0
GHO,-0.5,NA,1,7.7,2,no,NA,NA,no,0
GIA,-0.5,NA,7,13.41428571,5.714285714,no,NA,NA,no,0
GIB,0,NA,1,5.1,14,no,NA,NA,no,0
GIF,0,NA,4,8.925,7.25,no,NA,NA,no,0
GIN,-0.5,NA,18,13.03888889,2.777777778,yes,yes,15,no,0
GIR,0.5,H,19,7.684210526,8,no,NA,NA,no,0
GIS,0,NA,7,10.48571429,3.428571429,no,NA,NA,no,0
GLE,0.5,E,49,13.61041667,8.081632653,no,NA,NA,no,0
GMP,-0.5,E,11,5.990909091,6.545454545,no,NA,NA,no,0
GNA,0,NA,1,7.7,2,no,NA,NA,no,0
GNL,0.5,H,52,3.562,4.961538462,no,NA,NA,no,0
GNT,0,NA,8,2.1625,3.875,no,NA,NA,no,0
GOB,0,NA,1,14,2,no,NA,NA,yes,0
GOL,-0.5,NA,3,7.633333333,7.666666667,no,NA,NA,no,0
GOM,0,NA,3,11,7,no,NA,NA,no,0
GON,0,NA,1,5.8,4,no,NA,NA,yes,0
GOR,0,NA,5,8.74,9.8,no,NA,NA,no,0
GOY,0,NA,1,1.6,2,no,NA,NA,yes,0
GPA,0,NA,1,9.8,10,no,NA,NA,yes,0
GRA,0,NA,1,11.2,4,no,NA,NA,yes,0
GRE,0.5,H,56,3.638888889,5.303571429,no,NA,NA,no,0
GRI,0,NA,3,3.433333333,7,no,NA,NA,no,0
GRO,0,NA,13,9.884615385,5,no,NA,NA,no,0
GRU,0,NA,4,7.3,8.25,no,NA,NA,yes,0
GUA,0,NA,8,12.3875,2.25,no,NA,NA,yes,0
GUD,0,NA,1,3.8,7,no,NA,NA,no,0
GUI,-0.5,E,32,13.59375,2.875,yes,yes,16,no,0
GUS,0.5,E,40,4.951282051,5.475,no,NA,NA,yes,0
GVY,0.5,E,52,6.561538462,3.903846154,no,NA,NA,no,0
GWE,0,NA,2,13.1,2,no,NA,NA,yes,0
HAL,0,NA,1,11.5,3,no,NA,NA,no,0
HAM,0.5,F,39,13.4,7.692307692,no,NA,NA,no,0
HAN,0,NA,7,10.08571429,7.857142857,no,NA,NA,no,0
HAR,0,NA,2,5.45,11,no,NA,NA,yes,0
HAS,-0.5,E,5,3.82,6.6,no,NA,NA,no,0
HAT,0,NA,1,11.3,3,no,NA,NA,no,0
HAV,-0.5,E,24,14.05416667,2.833333333,yes,no,69,yes,0
HAW,0,NA,3,7.633333333,7.666666667,no,NA,NA,yes,0
HAY,0,NA,4,7.175,6.25,no,NA,NA,no,0
HAZ,0,NA,13,14.17692308,2.230769231,no,NA,NA,yes,0
HEA,-0.5,E,27,12.77777778,5.074074074,no,NA,NA,yes,0
HEE,0,NA,2,0.75,4.5,no,NA,NA,yes,0
HEI,0,NA,2,8.4,9,no,NA,NA,no,0
HEL,0,NA,4,1.45,2.75,no,NA,NA,yes,0
HEN,0,NA,13,11.75384615,6,no,NA,NA,no,0
HER,0,NA,4,11.875,6.75,no,NA,NA,no,0
HFF,0,NA,22,2.904545455,5.863636364,no,NA,NA,yes,1
HIE,-0.5,NA,1,8.2,2,no,NA,NA,no,0
HIL,0,NA,3,6.166666667,3.333333333,no,NA,NA,no,0
HIO,0,NA,2,8.05,7.5,no,NA,NA,no,0
HIP,-0.5,E,23,12.14347826,2.608695652,yes,no,46,yes,0
HIR,0,NA,10,12.4,6.9,no,NA,NA,no,0
HJA,-0.5,F,0,NA,NA,no,NA,NA,no,0
HLI,-0.5,E,28,7.557142857,2.464285714,no,NA,NA,no,0
HLM,0.5,H,50,4.892,3.42,no,NA,NA,yes,0
HMC,0,NA,3,13.4,1.666666667,no,NA,NA,yes,0
HMS,0,NA,1,5.1,14,no,NA,NA,no,0
HMT,-0.5,H,9,5.188888889,4.555555556,no,NA,NA,no,0
HNF,0,NA,6,13.06666667,5.666666667,no,NA,NA,yes,0
HNN,0,NA,1,8.3,8,no,NA,NA,no,0
HOD,0,NA,5,13.1,4.8,no,NA,NA,no,0
HOG,0.5,E,21,11.31428571,5.80952381,no,NA,NA,no,0
HOK,0.5,F,5,3.96,6,no,NA,NA,no,0
HOL,0,NA,1,6,8,no,NA,NA,yes,0
HOM,0,NA,1,8.4,6,no,NA,NA,yes,0
HON,-0.5,NA,7,10.27142857,4,no,NA,NA,no,0
HOO,0,NA,1,7.4,5,no,NA,NA,yes,0
HOP,0,NA,10,12.12,3,no,NA,NA,yes,1
HOY,0,NA,2,5.05,13,no,NA,NA,no,0
HPS,0,NA,6,5.416666667,4.666666667,no,NA,NA,yes,0
HRC,0,NA,1,13.7,7,no,NA,NA,no,0
HRT,0,NA,1,7.7,6,no,NA,NA,no,0
HTA,0,NA,2,8.05,12,no,NA,NA,no,0
HTG,0,NA,1,13.3,3,no,NA,NA,no,0
HUK,0,NA,0,NA,NA,no,NA,NA,no,0
HUL,-0.5,NA,1,7.4,5,no,NA,NA,no,0
HZP,0,NA,11,7.272727273,2.727272727,no,NA,NA,yes,0
ICE,-0.5,E,33,13.35454545,2.666666667,yes,no,63,yes,0
IGL,0,F,4,8.8,7.75,no,NA,NA,no,0
IGO,-0.5,E,25,11.46,2,no,NA,NA,no,0
ILE,0.5,E,2,7.1,3.5,no,NA,NA,no,0
IMP,0,NA,1,9.8,8,no,NA,NA,no,0
IND,0,NA,1,13.9,5,no,NA,NA,yes,0
ING,0,NA,2,8.6,1.5,no,NA,NA,no,0
INS,0,NA,9,5.188888889,3.777777778,no,NA,NA,yes,0
ION,0,NA,1,7.3,17,no,NA,NA,yes,0
ISA,-0.5,NA,18,12.15882353,6,no,NA,NA,no,0
ITA,0,NA,6,9.783333333,2.666666667,no,NA,NA,no,0
IVA,0.5,E,35,13.80571429,5.257142857,yes,yes,58,no,0
JAC,-0.5,NA,6,13.26666667,2.166666667,yes,yes,7,no,0
JAL,0,NA,3,14.36666667,2.666666667,no,NA,NA,yes,0
JAM,0,NA,2,9,5,no,NA,NA,yes,0
JAN,0,NA,1,5.7,10,no,NA,NA,yes,0
JAY,0,NA,1,4.5,2,no,NA,NA,no,0
JAZ,0,NA,7,4.628571429,7.571428571,no,NA,NA,no,0
JCB,0,NA,2,15.7,6.5,no,NA,NA,no,0
JCO,0,NA,4,5.375,15,no,NA,NA,yes,0
JEF,0,NA,16,13.1125,4.5625,no,NA,NA,no,0
JEN,0.5,NA,33,3.346875,6.303030303,no,NA,NA,no,0
JER,0,NA,0,NA,NA,no,NA,NA,no,0
JES,-0.5,H,16,4.05625,3.5,no,NA,NA,yes,0
JEW,0,NA,2,7.05,7.5,no,NA,NA,no,0
JIM,-0.5,H,52,6.313461538,3.096153846,no,NA,NA,no,0
JKE,0,NA,2,11.6,4,no,NA,NA,no,0
JLC,0,NA,2,10.85,2,no,NA,NA,yes,0
JME,0,NA,0,NA,NA,no,NA,NA,no,0
JMJ,0,NA,2,7.45,9,no,NA,NA,no,0
JMS,0.5,H,10,4.16,7.7,no,NA,NA,no,0
JNE,0,NA,1,1.7,7,no,NA,NA,no,0
JNO,0,NA,2,6.4,6.5,no,NA,NA,no,0
JOB,0,NA,10,9.95,5.7,no,NA,NA,no,0
JOC,0,NA,39,11.14615385,7.307692308,no,NA,NA,no,0
JOE,0,NA,6,9.55,3.333333333,no,NA,NA,no,0
JOH,0,NA,1,7,4,no,NA,NA,yes,0
JOI,0,NA,6,5.7,7.5,no,NA,NA,no,0
JOK,0,NA,4,6.45,5,no,NA,NA,no,0
JOL,0,NA,2,1.25,5.5,no,NA,NA,yes,0
JON,0.5,E,33,11.73939394,6.696969697,yes,no,61,no,0
JOR,0,NA,0,NA,NA,no,NA,NA,no,0
JOS,-0.5,NA,3,6.8,3,no,NA,NA,no,0
JOU,0,NA,5,8.84,2.8,no,NA,NA,no,0
JSH,0,NA,2,3.25,4,no,NA,NA,yes,0
JUA,0,NA,3,5.9,10,no,NA,NA,no,0
JUC,0,NA,5,13.68,4.4,no,NA,NA,yes,0
JUD,0,NA,2,11.15,9,no,NA,NA,no,0
JUF,-0.5,K,57,3.378181818,7.087719298,no,NA,NA,no,0
JUI,0,NA,4,8.525,7.5,no,NA,NA,no,0
JUL,0.5,E,55,4.229090909,4.236363636,no,NA,NA,no,0
JUM,0,NA,16,8.06875,6.0625,no,NA,NA,no,0
JUN,-0.5,NA,3,11.4,8.666666667,no,NA,NA,no,0
JUP,0,NA,16,12.56875,5.6875,no,NA,NA,no,0
JUS,0.5,F,37,13.51666667,7.72972973,no,NA,NA,no,0
KAD,-0.5,NA,27,13.45555556,5.481481481,no,NA,NA,yes,0
KAH,-0.5,E,32,13.490625,3.09375,yes,yes,20,no,0
KAI,0.5,H,9,5.211111111,8.555555556,no,NA,NA,no,0
KAM,-0.5,NA,23,3.638095238,3.347826087,no,NA,NA,no,0
KAN,-0.5,H,107,3.913084112,5.289719626,no,NA,NA,no,0
KAR,0,NA,1,8.3,8,no,NA,NA,no,0
KAS,0.5,H,6,3,7.333333333,no,NA,NA,no,0
KAZ,0,NA,26,4.211538462,4.307692308,no,NA,NA,yes,0
KDA,-0.5,NA,1,6,3,no,NA,NA,no,0
KEA,0,NA,1,13.5,2,no,NA,NA,no,0
KEE,-0.5,NA,3,12.56666667,3.666666667,no,NA,NA,no,0
KEL,-0.5,NA,4,5.325,9,no,NA,NA,no,0
KEN,0.5,F,43,13.52325581,8.139534884,no,NA,NA,no,0
KER,0,NA,5,7.16,5.2,no,NA,NA,no,0
KEY,0,NA,1,7.4,7,no,NA,NA,no,0
KIM,0,NA,2,5.05,4,no,NA,NA,no,0
KIN,-0.5,H,29,8.017241379,5.551724138,no,NA,NA,no,0
KLA,0,NA,8,13.5375,1.5,yes,yes,49,no,0
KLI,0.5,H,102,5.575247525,4.676470588,no,NA,NA,no,0
KLN,0,NA,1,3.3,16,no,NA,NA,yes,0
KMO,0.5,E,17,5.676470588,2.1875,no,NA,NA,yes,0
KNA,0,NA,2,2.95,11.5,no,NA,NA,yes,0
KNB,0,NA,9,9.622222222,5.333333333,no,NA,NA,yes,0
KNI,0,NA,4,7.45,7,no,NA,NA,no,0
KNU,0.5,E,56,3.888888889,4.785714286,no,NA,NA,no,0
KOA,0,NA,5,14.04,3,no,NA,NA,yes,0
KON,0,NA,16,6.55,4.75,no,NA,NA,yes,1
KRA,0.5,E,16,11.775,5.125,no,NA,NA,no,0
KRP,0,NA,1,4.5,7,no,NA,NA,no,0
KRU,0.5,NA,56,3.290909091,7.035714286,no,NA,NA,yes,0
KTY,0,NA,1,5.5,16,no,NA,NA,no,0
KUD,0.5,D,3,6.966666667,10,no,NA,NA,no,0
KYR,0,NA,10,12.08,2.1,no,NA,NA,no,0
LAC,0,NA,1,13.9,1,no,NA,NA,no,0
LAG,-0.5,NA,2,5.1,5.5,no,NA,NA,no,0
LAL,0,NA,2,8.75,8,no,NA,NA,no,0
LAM,0,NA,1,10.2,11,no,NA,NA,no,0
LAN,0,NA,0,NA,NA,no,NA,NA,no,0
LAR,0,NA,11,13.24545455,4.818181818,no,NA,NA,yes,0
LAS,0,NA,6,13.36666667,3.166666667,no,NA,NA,yes,0
LAT,-0.5,NA,12,5.691666667,3.5,no,NA,NA,no,0
LAU,0,NA,9,12.73333333,4.555555556,no,NA,NA,no,0
LAW,0,NA,1,5.5,16,no,NA,NA,no,0
LAY,0,NA,1,3.8,4,no,NA,NA,no,0
LEA,-0.5,E,23,7.286956522,2.173913043,no,NA,NA,no,0
LEC,0.5,H,20,7.575,4.65,no,NA,NA,no,0
LEE,0,NA,1,10.5,2,no,NA,NA,yes,0
LEH,0.5,D,2,5.85,5.5,no,NA,NA,no,0
LEM,-0.5,E,53,13.58076923,4.79245283,no,NA,NA,no,0
LEN,0,NA,12,11.95833333,6.333333333,no,NA,NA,no,0
LEO,0,NA,4,8.05,5.25,no,NA,NA,no,0
LES,0,NA,1,9.2,7,no,NA,NA,no,0
LET,0,NA,1,14.6,5,no,NA,NA,no,0
LEV,0,NA,2,12.95,2,no,NA,NA,yes,0
LGT,-0.5,NA,24,3.370833333,4.083333333,no,NA,NA,no,0
LIA,0,NA,3,8.233333333,8.333333333,no,NA,NA,no,0
LIB,0,NA,1,15.6,8,no,NA,NA,yes,0
LIE,-0.5,E,29,13.23103448,4.24137931,yes,yes,26,no,0
LIH,0.5,H,12,7.675,7.583333333,no,NA,NA,no,0
LIL,0.5,E,34,3.444117647,6.117647059,no,NA,NA,no,0
LIM,-0.5,E,77,12.96133333,4.298701299,no,NA,NA,yes,0
LIN,0,NA,3,8.8,3,no,NA,NA,no,0
LIS,0,NA,11,13.59090909,6,no,NA,NA,yes,0
LIZ,-0.5,E,27,13.27407407,3.037037037,yes,no,44,yes,0
LLO,0,NA,2,10.15,9,no,NA,NA,no,0
LMC,-0.5,E,5,4.74,7.2,no,NA,NA,no,0
LMM,0,NA,7,3.22,2.142857143,no,NA,NA,yes,0
LMP,0,NA,1,9.3,4,no,NA,NA,yes,0
LOI,-0.5,H,17,13.27058824,4.647058824,no,NA,NA,no,0
LOL,-0.5,H,9,5.022222222,2.444444444,no,NA,NA,no,0
LOO,-0.5,NA,9,12.35555556,5.777777778,no,NA,NA,no,0
LOR,0,NA,1,13.1,1,no,NA,NA,no,0
LOU,0,NA,3,10.76666667,4.333333333,no,NA,NA,no,0
LUA,0,NA,9,10.58888889,9.444444444,no,NA,NA,no,0
LUC,0.5,E,3,7.233333333,3.333333333,no,NA,NA,no,0
LUK,-0.5,H,65,2.798461538,3.661538462,no,NA,NA,no,0
LUY,0,NA,12,1.758333333,3,no,NA,NA,yes,0
LWS,-0.5,NA,2,5.45,11,no,NA,NA,no,0
LYN,0,NA,7,9.771428571,11.28571429,no,NA,NA,no,0
MAA,0.5,E,45,12.89555556,5.977777778,yes,yes,48,no,0
MAC,0.5,E,21,6.419047619,8.428571429,no,NA,NA,no,0
MAD,0,NA,1,2.7,7,no,NA,NA,no,0
MAE,0.5,E,23,10.86086957,3.608695652,no,NA,NA,no,0
MAG,-0.5,NA,1,7.8,6,no,NA,NA,no,0
MAI,-0.5,E,4,6.65,5.25,no,NA,NA,no,0
MAJ,0,NA,15,10.05333333,4,no,NA,NA,no,0
MAK,0.5,F,40,13.1075,7.125,no,NA,NA,no,0
MAL,-0.5,E,52,13.05576923,3.653846154,yes,yes,35,no,0
MAN,-0.5,NA,14,10.82142857,5.642857143,no,NA,NA,no,0
MAO,-0.5,NA,25,3.534782609,5.56,no,NA,NA,no,0
MAR,-0.5,E,20,13.7,2.7,yes,yes,1,no,0
MAS,0,NA,4,6.25,6,no,NA,NA,yes,0
MAT,-0.5,NA,2,9.8,4.5,no,NA,NA,no,0
MAV,-0.5,E,69,13.01884058,5.333333333,no,NA,NA,no,0
MAX,-0.5,E,2,3.5,10,no,NA,NA,no,0
MAY,-0.5,NA,12,13.99166667,2.5,yes,yes,23,no,0
MAZ,0,NA,1,13.7,6,no,NA,NA,yes,0
MCA,0,NA,8,3.2125,3.125,no,NA,NA,no,0
MCF,0,NA,1,7.5,6,no,NA,NA,yes,0
MCH,0,NA,1,9.3,2,no,NA,NA,yes,0
MCJ,0,NA,1,2.2,7,no,NA,NA,no,0
MCK,0,NA,4,3.675,6,no,NA,NA,no,0
MCO,0,NA,1,11.9,2,no,NA,NA,no,0
MDA,0,NA,2,4.95,3.5,no,NA,NA,yes,0
MEE,0,NA,1,9.3,2,no,NA,NA,no,0
MEL,-0.5,NA,1,5.7,10,no,NA,NA,no,0
MEN,-0.5,H,6,7.35,4.166666667,no,NA,NA,no,0
MER,0,NA,6,11.78333333,2,no,NA,NA,yes,0
MEZ,0,NA,3,10.63333333,3.333333333,no,NA,NA,yes,0
MHA,0,NA,35,12.95142857,4.8,no,NA,NA,yes,0
MIA,0,NA,20,4.95,4.3,no,NA,NA,yes,1
MIC,0,NA,24,11.3125,7.916666667,no,NA,NA,no,0
MIH,0.5,H,24,7.25,9.291666667,no,NA,NA,no,0
MIK,0.5,E,2,14.1,1,no,NA,NA,no,0
MIL,-0.5,E,20,7.03,2.4,no,NA,NA,no,0
MIO,0,NA,1,4.5,1,no,NA,NA,no,0
MIS,0,NA,4,14.45,2.25,no,NA,NA,yes,0
MIT,0.5,NA,64,5.085483871,6.734375,no,NA,NA,no,0
MIU,0,NA,7,10.25714286,4.428571429,no,NA,NA,no,0
MJA,0,NA,1,13.7,7,no,NA,NA,no,0
MKA,0,NA,2,7.1,2,no,NA,NA,yes,0
MLD,0,NA,7,8.257142857,2.714285714,no,NA,NA,yes,0
MLT,0,NA,5,11.68,2.4,no,NA,NA,yes,0
MMO,0,NA,2,11.05,16,no,NA,NA,yes,0
MNK,0,NA,7,12.11428571,4.857142857,no,NA,NA,yes,0
MNN,0,NA,1,6.3,5,no,NA,NA,no,0
MOC,0,NA,2,3.1,3,no,NA,NA,yes,0
MOE,0,NA,38,12.64473684,5.815789474,yes,yes,14,no,0
MOG,0,NA,1,9.8,2,no,NA,NA,yes,0
MOI,0.5,E,51,12.51176471,6.745098039,no,NA,NA,yes,0
MOJ,-0.5,NA,67,11.76567164,3.23880597,yes,yes,9,no,0
MOL,0,NA,2,3.65,6,no,NA,NA,no,0
MON,-0.5,F,20,13.635,5,no,NA,NA,no,0
MOO,0,NA,7,7.357142857,5.857142857,no,NA,NA,no,0
MOR,0,NA,3,11.13333333,7.666666667,no,NA,NA,no,0
MOS,0,NA,5,3.02,6,no,NA,NA,yes,0
MOT,0.5,E,23,10.67391304,6.173913043,no,NA,NA,no,0
MOY,-0.5,E,27,7.462962963,2.592592593,no,NA,NA,no,0
MRC,0,NA,4,4.375,5,no,NA,NA,yes,0
MRE,-0.5,NA,2,4.15,11,no,NA,NA,no,0
MRK,-0.5,NA,9,1.9375,4.666666667,no,NA,NA,no,0
MRL,0,NA,4,6.3,2.75,no,NA,NA,yes,0
MRN,0,NA,1,7.3,17,no,NA,NA,no,0
MRT,0.5,H,3,6.966666667,10,no,NA,NA,no,0
MSH,0.5,H,62,5.129032258,4.112903226,no,NA,NA,yes,0
MTH,0,NA,19,7.305263158,7,no,NA,NA,no,0
MTR,0,NA,5,7.66,3,no,NA,NA,no,0
MTY,0,NA,6,10.4,3.166666667,no,NA,NA,yes,0
MTZ,0,NA,3,3.4,8.666666667,no,NA,NA,no,0
MUD,-0.5,NA,4,8.325,3.5,no,NA,NA,no,0
MUE,0,NA,2,11.3,3,no,NA,NA,no,0
MUF,0.5,H,31,3.58,6.258064516,no,NA,NA,no,0
MUL,-0.5,NA,2,6.4,16.5,no,NA,NA,no,0
MUR,0,NA,1,5.8,15,no,NA,NA,no,0
MUS,0,NA,1,8.3,8,no,NA,NA,no,0
MYO,0,NA,5,9.72,3.6,no,NA,NA,no,0
MYS,0.5,E,21,11.96666667,8.380952381,no,NA,NA,no,0
NAC,0.5,E,2,8.8,9.5,no,NA,NA,no,0
NAD,-0.5,D,3,6.266666667,2,no,NA,NA,yes,0
NAS,0,NA,11,1.75,4.272727273,no,NA,NA,no,0
NAT,-0.5,E,23,13.41363636,6.47826087,no,NA,NA,no,0
NED,0,NA,12,12.94166667,4.5,no,NA,NA,yes,0
NEE,-0.5,H,17,5.235294118,4.352941176,no,NA,NA,yes,0
NEF,0,NA,2,10.55,3,no,NA,NA,no,0
NEI,-0.5,NA,28,12.37407407,7.857142857,no,NA,NA,no,0
NEL,-0.5,NA,6,5.533333333,4.833333333,no,NA,NA,no,0
NEM,0,NA,1,2.6,1,no,NA,NA,no,0
NIA,0,NA,2,9.1,6,no,NA,NA,yes,0
NIB,0,NA,1,8.6,1,no,NA,NA,no,0
NIC,0,NA,2,8.15,6.5,no,NA,NA,no,0
NIK,0.5,NA,1,11.3,2,no,NA,NA,yes,0
NIN,0,NA,1,10.2,5,no,NA,NA,yes,0
NIR,0.5,H,56,11.4375,7.214285714,no,NA,NA,yes,0
NIS,0,NA,1,8,2,no,NA,NA,no,0
NLE,-0.5,NA,4,2.45,7.5,no,NA,NA,no,0
NOA,0,NA,2,4.6,7.5,no,NA,NA,no,0
NOB,0,NA,4,13.45,5,no,NA,NA,no,0
NOF,0.5,E,9,7.722222222,4.333333333,no,NA,NA,no,0
NOM,0.5,E,3,6.366666667,6,no,NA,NA,no,0
NOR,0,NA,1,6.3,6,no,NA,NA,no,0
NOT,-0.5,NA,9,11.24444444,4.666666667,no,NA,NA,no,0
NTE,0,NA,2,7.45,9,no,NA,NA,no,0
NTH,0.5,H,3,4.566666667,5.666666667,no,NA,NA,no,0
NTR,0,NA,1,14.6,2,no,NA,NA,yes,0
NUD,0,NA,3,7.366666667,2.666666667,no,NA,NA,yes,0
OAK,-0.5,H,79,5.618987342,3.075949367,no,NA,NA,no,0
OBA,0,NA,1,14.6,5,no,NA,NA,no,0
OBE,0.5,F,8,6.5125,6.375,no,NA,NA,no,0
OBR,0,NA,1,16.2,1,no,NA,NA,no,0
ODB,0,NA,3,4.733333333,7,no,NA,NA,no,0
OKH,0,NA,2,11.25,3,no,NA,NA,yes,0
OLE,0.5,E,46,3.691111111,6.173913043,no,NA,NA,no,0
OLY,0,NA,3,10.7,4.333333333,no,NA,NA,yes,0
